forecasted,,04/27/2019,,USAA FUNDS TRANSFER DB,Uncategorized,-700.00
forecasted,,04/24/2019,,USAA FUNDS TRANSFER DB,Uncategorized,-100.00
forecasted,,04/05/2019,,USAA FUNDS TRANSFER DB,Uncategorized,-1000.00
forecasted,,03/11/2019,,USAA FUNDS TRANSFER DB,Uncategorized,-2000.00
forecasted,,03/11/2019,,USAA FUNDS TRANSFER CR,Uncategorized,22.30
forecasted,,03/05/2019,,Dominion Energy Virginia ONLINE PMT******3POS,Uncategorized,-70.80
posted,,04/29/2019,USAA FUNDS TRANSFER,USAA FUNDS TRANSFER DB,Gifts,-700
posted,,04/24/2019,Christie Loan,USAA FUNDS TRANSFER DB,Gifts,-100
posted,,04/24/2019,VA DEPT TAXATION 2018 refund,VA DEPT TAXATION VASTTAXRFD ***********5973,Taxes,--526.09
posted,,04/22/2019,,TENABLE  INC     DIRECT DEP ***********7RUH,Paychecks/Salary,--2821.41
posted,,04/16/2019,,INTEREST PAID,Interest,--0.29
posted,,04/15/2019,,CHASE CREDIT CRD AUTOPAY    ***********5514,Credit Card Payments,-3562.65
posted,,04/15/2019,,FID BKG SVC LLC  MONEYLINE  ***********5E5P,Retirement Contributions,-900
posted,,04/09/2019,,TENABLE NETWORK  DIRECT-PAY ***********5780,Expense Reimbursement,--1632.58
posted,,04/08/2019,,CHECK # 0000001080,Rent,-2374.45
posted,,04/04/2019,Christie Gift USAATRANSFER DB,USAA FUNDS TRANSFER DB,Christie%20-%20Assistance,-1000
posted,,04/04/2019,,TENABLE  INC     DIRECT DEP ***********8RUH,Paychecks/Salary,--2821.42
posted,,04/03/2019,,DOMINION VA POWE ONLINE PMT ***********5NEG,Utilities,-56.19
posted,,03/29/2019,,IRS  TREAS 310     TAX REF  ***********0908,Taxes,--1107
posted,,03/22/2019,,TENABLE  INC     DIRECT DEP ***********0RUH,Paychecks/Salary,--2821.41
posted,,03/19/2019,,TENABLE NETWORK  DIRECT-PAY ***********4921,Expense Reimbursement,--1001.44
posted,,03/18/2019,,INTEREST PAID,Interest,--0.29
posted,,03/15/2019,,CHASE CREDIT CRD AUTOPAY    ***********4715,Credit Card Payments,-2698.07
posted,,03/12/2019,,FID BKG SVC LLC  MONEYLINE  ***********S77A,HSA Funding and Reimb,-450
posted,,03/11/2019,,USAA FUNDS TRANSFER DB,Transfers,-2000
posted,,03/11/2019,Annual USAA rebate dep by mstk to Joint,USAA FUNDS TRANSFER CR,Insurance,--22.3
posted,,03/06/2019,,TENABLE  INC     DIRECT DEP ***********5RUH,Paychecks/Salary,--2821.41
posted,,03/05/2019,,CHECK # 0000001075,Rent,-2369.28
posted,,03/05/2019,,DOMINION ENGY VA ONLINE PMT ***********3POS,Utilities,-70.8
posted,,03/05/2019,,FID BKG SVC LLC  MONEYLINE  ***********W78L,HSA Funding and Reimb,--2959.47
posted,,02/21/2019,,TENABLE  INC     DIRECT DEP ***********9RUH,Paychecks/Salary,--3504.28
posted,,02/21/2019,,TENABLE  INC     DIRECT DEP ***********0RUH,Paychecks/Salary,--469.98
posted,,02/19/2019,,DEPOSIT@MOBILE,Rewards,--26.24
posted,,02/15/2019,,CHASE CREDIT CRD AUTOPAY    ***********4090,Credit Card Payments,-2738.37
posted,,02/14/2019,,INTEREST PAID,Interest,--0.25
posted,,02/07/2019,,CHECK # 0000001074,Rent,-2371.57
posted,,02/06/2019,,TENABLE  INC     DIRECT DEP ***********5RUH,Paychecks/Salary,--2821.4
posted,,02/05/2019,,DOMINION ENGY VA ONLINE PMT ***********3POS,Utilities,-48.77
posted,,01/18/2019,,TENABLE  INC     DIRECT DEP ***********5RUH,Paychecks/Salary,--2757.72
posted,,01/16/2019,,INTEREST PAID,Interest,--0.27
posted,,01/15/2019,,CHASE CREDIT CRD AUTOPAY    ***********2072,Credit Card Payments,-5599.41
posted,,01/09/2019,,CHECK # 0000001073,Rent,-2358.22
posted,,01/09/2019,,DEPOSIT@MOBILE,Paychecks/Salary,--4357.52

