forecasted,,07/08/2019,,USAA FUNDS TRANSFER DB,Uncategorized,-45.00
posted,,08/14/2019,,DOM ENERGYVA     UTILITY    ***********8543,Utilities,-34.14
posted,,08/12/2019,,CHECK # 0000001086,Expense Reimbursement,-1500
posted,,08/09/2019,,DEPOSIT@MOBILE,Groceries,--9.2
posted,,08/07/2019,,CHECK # 0000001085,Rent,-2390.05
posted,,08/06/2019,,TENABLE  INC     DIRECT DEP ***********4RUH,Paychecks/Salary,--2825
posted,,07/19/2019,,TENABLE  INC     DIRECT DEP ***********8RUH,Paychecks/Salary,--2821.42
posted,,07/16/2019,,INTEREST PAID,Interest,--0.3
posted,,07/15/2019,,CHASE CREDIT CRD AUTOPAY    ***********2483,Credit Card Payments,-1734.91
posted,,07/09/2019,,DOM ENERGYVA     UTILITY    ***********6177,Utilities,-16.65
posted,,07/08/2019,,CHECK # 0000001084,Rent,-2351
posted,,07/08/2019,Christie Repay for dinner,USAA FUNDS TRANSFER DB,Restaurants/Dining,-45
posted,,07/03/2019,,TENABLE  INC     DIRECT DEP ***********9RUH,Paychecks/Salary,--2821.41
posted,,07/01/2019,Elena repayment for hotel,DEPOSIT@MOBILE,Travel - Lodging,--22.5
posted,,06/25/2019,,DOMINION VA POWE ONLINE PMT ***********4NEG,Utilities,-35.96
posted,,06/20/2019,,TENABLE  INC     DIRECT DEP ***********3RUH,Paychecks/Salary,--2821.41
posted,,06/17/2019,,INTEREST PAID,Interest,--0.33
posted,,06/17/2019,,CHASE CREDIT CRD AUTOPAY    ***********5572,Credit Card Payments,-2307.02
posted,,06/17/2019,,VENMO            VERIFYBAN  ***********8944,Online Services,-0.29
posted,,06/17/2019,,VENMO            VERIFYBAN  ***********8943,Online Services,-0.24
posted,,06/17/2019,,PENTAGON FEDERAL TRNSFR CR  000002324612015,Transfers,--660.62
posted,,06/17/2019,Eric reimbursing me,VENMO            CASHOUT    ***********9673,Restaurants/Dining,--40
posted,,06/17/2019,,VENMO            VERIFYBAN  ***********8942,Online Services,--0.29
posted,,06/17/2019,,VENMO            VERIFYBAN  ***********8941,Other Income,--0.24
posted,,06/11/2019,deposit remainder of HSA 2019,FID BKG SVC LLC  MONEYLINE  ***********1GOP,Transfers,-3150
posted,,06/07/2019,,DOMINION VA POWE ONLINE PMT ***********1NEG,Utilities,-52.64
posted,,06/06/2019,,CHECK # 0000001083,Rent,-2369.88
posted,,06/06/2019,,TENABLE  INC     DIRECT DEP ***********4RUH,Paychecks/Salary,--2821.42
posted,,05/24/2019,wedding Gift Noah,CHECK # 0000001081,Gifts,-150
posted,,05/21/2019,,TENABLE  INC     DIRECT DEP ***********0RUH,Paychecks/Salary,--2821.41
posted,,05/21/2019,Tenable Bonus,TENABLE  INC     DIRECT DEP ***********1RUH,Paychecks/Salary,--1552.99
posted,,05/16/2019,,INTEREST PAID,Interest,--0.29
posted,,05/15/2019,,CHASE CREDIT CRD AUTOPAY    ***********7831,Credit Card Payments,-2268.03
posted,,05/07/2019,CHECK # 0000001082 RENT Harrison,CHECK # 0000001082,Rent,-1371.47
